Year,min_monthly_temperature,maximum_monthly_temperature,year_temperature_range
1950,-4.837286376953102,4.869683837890648,9.70697021484375
1951,-5.88359680175779,4.077203369140648,9.960800170898438
1952,-5.370748901367165,4.36426696777346,9.735015869140625
1953,-6.582586669921852,4.694802856445335,11.277389526367188
1954,-5.64153137207029,3.4553314208984602,9.09686279296875
1955,-5.482992553710915,4.956872558593773,10.439865112304688
1956,-4.41869201660154,5.005838012695335,9.424530029296875
1957,-5.68260803222654,5.628747558593773,11.311355590820312
1958,-4.280905151367165,4.77015075683596,9.051055908203125
1959,-6.091406249999977,4.526589965820335,10.617996215820312
1960,-4.53172912597654,5.761026000976585,10.292755126953125
1961,-5.13908996582029,4.580346679687523,9.719436645507812
1962,-3.8018096923827898,5.39130554199221,9.193115234375
1963,-3.6251434326171648,5.910577392578148,9.535720825195312
1964,-6.274328613281227,5.325097656250023,11.59942626953125
1965,-4.059393310546852,5.91822204589846,9.977615356445312
1966,-6.507025146484352,4.855020141601585,11.362045288085938
1967,-4.207006835937477,5.400308227539085,9.607315063476562
1968,-3.0286621093749773,4.910745239257835,7.9394073486328125
1969,-4.30943908691404,4.619042968750023,8.928482055664062
1970,-3.8215087890624773,6.202539062500023,10.0240478515625
1971,-4.816839599609352,4.581811523437523,9.398651123046875
1972,-3.9743560791015398,5.69178161621096,9.6661376953125
1973,-5.736914062499977,4.287210083007835,10.024124145507812
1974,-4.390890502929665,5.098596191406273,9.489486694335938
1975,-4.81120910644529,6.11982116699221,10.9310302734375
1976,-5.371374511718727,5.458306884765648,10.829681396484375
1977,-4.885137939453102,4.417962646484398,9.3031005859375
1978,-4.69151916503904,5.87195739746096,10.5634765625
1979,-4.13310852050779,6.968469238281273,11.101577758789062
1980,-4.157598876953102,4.959268188476585,9.116867065429688
1981,-3.4078887939452898,5.088861083984398,8.496749877929688
1982,-5.12230529785154,6.833474731445335,11.955780029296875
1983,-3.7754119873046648,5.940393066406273,9.715805053710938
1984,-5.275762939453102,6.60633239746096,11.882095336914062
1985,-3.3520721435546648,6.69043884277346,10.042510986328125
1986,-5.158544921874977,4.33411560058596,9.492660522460938
1987,-5.55071105957029,5.139932250976585,10.690643310546875
1988,-5.225805664062477,5.680764770507835,10.906570434570312
1989,-3.2977203369140398,5.471612548828148,8.769332885742188
1990,-3.5464538574218523,6.59253845214846,10.138992309570312
1991,-5.000036621093727,4.922158813476585,9.922195434570312
1992,-4.947790527343727,6.384805297851585,11.332595825195312
1993,-3.8410400390624773,5.237100219726585,9.078140258789062
1994,-4.691473388671852,5.910424804687523,10.601898193359375
1995,-7.260168457031227,6.066278076171898,13.326446533203125
1996,-3.5722564697265398,4.29700622558596,7.8692626953125
1997,-5.462789916992165,4.586572265625023,10.049362182617188
1998,-2.3942169189452898,6.501306152343773,8.895523071289062
1999,-3.4209045410156023,5.206811523437523,8.627716064453125
2000,-4.477972412109352,5.06873474121096,9.546707153320312
2001,-5.503561401367165,4.767495727539085,10.27105712890625
2002,-5.777197265624977,5.18219909667971,10.959396362304688
2003,-4.35887756347654,5.020669555664085,9.379547119140625
2004,-3.9291748046874773,7.76337585449221,11.692550659179688
2005,-4.303671264648415,6.305902099609398,10.609573364257812
2006,-3.4945434570312273,5.901696777343773,9.396240234375
2007,-4.27153625488279,5.60114440917971,9.8726806640625
2008,-4.000326538085915,5.693399047851585,9.6937255859375
2009,-3.3575805664062273,5.18128356933596,8.538864135742188
2010,-3.7620452880859148,3.5652404785156477,7.3272857666015625
2011,-3.7685607910156023,5.723306274414085,9.491867065429688
2012,-4.634359741210915,5.555581665039085,10.18994140625
2013,-4.039526367187477,5.836816406250023,9.8763427734375
2014,-3.4443572998046648,4.61176452636721,8.056121826171875
2015,-3.8813385009765398,4.30262145996096,8.1839599609375
2016,-3.0103820800781023,4.951898193359398,7.9622802734375
2017,-4.135626220703102,5.943505859375023,10.079132080078125
2018,-3.9120239257812273,5.717584228515648,9.629608154296875
2019,-3.0228332519531023,4.639749145507835,7.6625823974609375
2020,-5.343725585937477,6.487451171875023,11.8311767578125
2021,-2.3845275878906023,6.297448730468773,8.681976318359375
2022,-4.32445373535154,4.788430786132835,9.112884521484375
2023,-0.41260375976560226,5.86994323730471,6.2825469970703125
