Year,min_monthly_temperature,maximum_monthly_temperature,year_temperature_range
1950,-0.09783020019528976,6.850152587890648,6.9479827880859375
1951,-0.03594055175778976,6.80823669433596,6.84417724609375
1952,0.5191436767578352,6.774026489257835,6.2548828125
1953,-0.9204772949218523,6.690896606445335,7.6113739013671875
1954,-0.42464294433591476,5.78540954589846,6.210052490234375
1955,-0.7954925537109148,6.849450683593773,7.6449432373046875
1956,0.5324798583984602,7.222634887695335,6.690155029296875
1957,-0.24887695312497726,7.620935058593773,7.86981201171875
1958,0.47300109863283524,7.10999450683596,6.636993408203125
1959,-0.5191406249999773,6.569558715820335,7.0886993408203125
1960,0.32764587402346024,7.775231933593773,7.4475860595703125
1961,-0.5844024658202898,7.041284179687523,7.6256866455078125
1962,0.43061218261721024,7.261163330078148,6.8305511474609375
1963,0.48423156738283524,7.881280517578148,7.3970489501953125
1964,-1.0633911132812273,7.041131591796898,8.104522705078125
1965,0.49334106445314774,8.43384704589846,7.9405059814453125
1966,-1.6496032714843523,6.878686523437523,8.528289794921875
1967,0.15822753906252274,7.439370727539085,7.2811431884765625
1968,0.38540039062502274,6.986917114257835,6.6015167236328125
1969,-0.37779846191403976,7.021386718750023,7.3991851806640625
1970,0.6507354736328352,7.817773437500023,7.1670379638671875
1971,-0.5668395996093523,6.65619812011721,7.2230377197265625
1972,0.8314605712890852,7.405053710937523,6.5735931396484375
1973,-1.6490234374999773,6.957376098632835,8.606399536132812
1974,0.21067199707033524,7.051721191406273,6.8410491943359375
1975,0.16925964355471024,7.75263366699221,7.5833740234375
1976,-0.33621826171872726,7.339166259765648,7.675384521484375
1977,-0.7386535644531023,7.42389831542971,8.162551879882812
1978,-0.42394104003903976,7.77820739746096,8.2021484375
1979,-0.19756164550778976,8.652062988281273,8.849624633789062
1980,0.37951049804689774,7.047158813476585,6.6676483154296875
1981,1.2822204589843977,6.883782958984398,5.6015625
1982,0.04956970214846024,8.679177856445335,8.629608154296875
1983,1.5875946044922102,7.762658691406273,6.1750640869140625
1984,-1.0980285644531023,7.97742614746096,9.075454711914062
1985,1.3430267333984602,8.59668884277346,7.253662109375
1986,-0.14291992187497726,6.30286560058596,6.4457855224609375
1987,0.09772644042971024,7.257119750976585,7.159393310546875
1988,0.43825683593752274,7.725686645507835,7.2874298095703125
1989,1.5264984130859602,7.741143798828148,6.2146453857421875
1990,0.8832336425781477,8.68238220214846,7.7991485595703125
1991,0.08785400390627274,7.154580688476585,7.0667266845703125
1992,-0.8540405273437273,8.351602172851585,9.205642700195312
1993,0.6863037109375227,7.928506469726585,7.2422027587890625
1994,0.6600891113281477,7.838159179687523,7.178070068359375
1995,-2.1898559570312273,7.923699951171898,10.113555908203125
1996,1.4701629638672102,6.72864685058596,5.25848388671875
1997,-0.9998992919921648,6.79865417480471,7.798553466796875
1998,2.1012359619140852,8.261071777343773,6.1598358154296875
1999,1.3200927734375227,7.200952148437523,5.880859375
2000,0.09411010742189774,6.66248474121096,6.5683746337890625
2001,-0.5387176513671648,6.771401977539085,7.31011962890625
2002,-0.36899414062497726,7.367837524414085,7.7368316650390625
2003,0.5551849365234602,7.313638305664085,6.758453369140625
2004,0.5239501953125227,9.49970397949221,8.975753784179688
2005,-0.5517181396484148,8.514886474609398,9.066604614257812
2006,1.3589721679687727,8.22113952636721,6.8621673583984375
2007,0.7538543701172102,7.57966003417971,6.8258056640625
2008,0.07389221191408524,8.011758422851585,7.9378662109375
2009,1.0546508789062727,7.07190856933596,6.0172576904296875
2010,0.5192047119140852,6.293756103515648,5.7745513916015625
2011,0.6415954589843977,7.352212524414085,6.7106170654296875
2012,0.09610900878908524,7.225503540039085,7.12939453125
2013,-0.14694824218747726,8.295800781250023,8.4427490234375
2014,1.2197052001953352,6.68793640136721,5.468231201171875
2015,0.04834899902346024,6.76746520996096,6.7191162109375
2016,1.5449615478515852,7.308679199218773,5.7637176513671875
2017,0.9366394042968977,8.045068359375023,7.108428955078125
2018,1.0787750244140852,7.766412353515648,6.6876373291015625
2019,1.3233581542968977,6.999246215820335,5.6758880615234375
2020,-1.0077880859374773,8.321435546875023,9.3292236328125
2021,1.7541442871093977,8.359948730468773,6.605804443359375
2022,0.06226501464846024,7.057962036132835,6.995697021484375
2023,3.7319274902343977,7.64338073730471,3.9114532470703125
