Year,min_monthly_temperature,maximum_monthly_temperature,year_temperature_range
1950,-2.3038391113281023,6.147027587890648,8.45086669921875
1951,-2.4441436767577898,6.09925231933596,8.54339599609375
1952,-1.9164031982421648,6.162698364257835,8.0791015625
1953,-2.9048522949218523,5.944802856445335,8.849655151367188
1954,-2.7254241943359148,5.13697204589846,7.862396240234375
1955,-3.1958831787109148,6.286950683593773,9.482833862304688
1956,-1.4592193603515398,6.687478637695335,8.146697998046875
1957,-2.3914550781249773,6.857263183593773,9.24871826171875
1958,-2.0894989013671648,6.40686950683596,8.496368408203125
1959,-3.1009582519531023,6.067605590820335,9.168563842773438
1960,-2.2289947509765398,7.243981933593773,9.472976684570312
1961,-3.2914337158202898,6.304956054687523,9.596389770507812
1962,-1.5225128173827898,6.628350830078148,8.150863647460938
1963,-1.8751434326171648,7.144952392578148,9.020095825195312
1964,-3.8934692382812273,6.598535156250023,10.49200439453125
1965,-1.7507995605468523,7.62330017089846,9.374099731445312
1966,-4.065618896484352,6.357202148437523,10.422821044921875
1967,-2.0132965087890398,6.792886352539085,8.806182861328125
1968,-1.0188964843749773,6.414651489257835,7.4335479736328125
1969,-2.6141265869140398,6.415917968750023,9.030044555664062
1970,-1.8707489013671648,7.350976562500023,9.221725463867188
1971,-2.5766052246093523,5.939233398437523,8.515838623046875
1972,-1.2946685791015398,6.823022460937523,8.117691040039062
1973,-4.770117187499977,6.351907348632835,11.122024536132812
1974,-2.1174224853515398,6.454309082031273,8.571731567382812
1975,-2.2721466064452898,7.37958679199221,9.6517333984375
1976,-2.3225463867187273,6.661431884765648,8.983978271484375
1977,-2.7308410644531023,6.87897644042971,9.609817504882812
1978,-1.8243316650390398,7.15516052246096,8.9794921875
1979,-2.1370147705077898,7.993859863281273,10.130874633789062
1980,-1.6243957519531023,6.574502563476585,8.198898315429688
1981,-0.6982482910156023,6.479486083984398,7.177734375
1982,-2.1808990478515398,8.054177856445335,10.235076904296875
1983,-0.05470886230466476,7.084924316406273,7.1396331787109375
1984,-2.9495910644531023,7.84656677246096,10.796157836914062
1985,-0.6413482666015398,7.89942321777346,8.540771484375
1986,-1.8323730468749773,5.69349060058596,7.5258636474609375
1987,-1.8026641845702898,6.626260375976585,8.428924560546875
1988,-1.3625244140624773,7.036233520507835,8.398757934570312
1989,-0.7118438720702898,6.909112548828148,7.6209564208984375
1990,-0.7925476074218523,8.03003845214846,8.822586059570312
1991,-1.7921508789062273,6.414208984375023,8.20635986328125
1992,-3.2388061523437273,7.705117797851585,10.943923950195312
1993,-2.1691650390624773,7.319131469726585,9.488296508789062
1994,-1.4911102294921648,7.230737304687523,8.721847534179688
1995,-4.170324707031227,7.232293701171898,11.402618408203125
1996,-0.29741516113278976,5.94544372558596,6.24285888671875
1997,-3.6483367919921648,5.92756042480471,9.575897216796875
1998,0.42284545898439774,7.962243652343773,7.539398193359375
1999,-0.9209045410156023,6.521264648437523,7.442169189453125
2000,-2.8314880371093523,5.94178161621096,8.773269653320312
2001,-2.9000457763671648,6.097573852539085,8.99761962890625
2002,-2.8611816406249773,6.502603149414085,9.363784790039062
2003,-1.9291900634765398,6.436685180664085,8.365875244140625
2004,-1.8139404296874773,8.78681335449221,10.600753784179688
2005,-3.0614837646484148,7.907464599609398,10.968948364257812
2006,-1.1429809570312273,7.526696777343773,8.669677734375
2007,-1.2090362548827898,7.01130065917971,8.2203369140625
2008,-1.8772796630859148,7.345742797851585,9.2230224609375
2009,-0.8047241210937273,6.33948669433596,7.1442108154296875
2010,-1.5257171630859148,5.565240478515648,7.0909576416015625
2011,-1.4013732910156023,6.590493774414085,7.9918670654296875
2012,-1.5503753662109148,6.586831665039085,8.13720703125
2013,-1.7133544921874773,7.668847656250023,9.3822021484375
2014,-0.6552947998046648,6.10004577636721,6.755340576171875
2015,-0.9907135009765398,6.20105895996096,7.1917724609375
2016,-0.29878845214841476,6.660882568359398,6.9596710205078125
2017,-1.6024230957031023,7.257958984375023,8.860382080078125
2018,-1.3651489257812273,7.018365478515648,8.383514404296875
2019,-0.7474426269531023,6.379983520507835,7.1274261474609375
2020,-3.3515380859374773,7.782373046875023,11.1339111328125
2021,0.39672241210939774,7.768151855468773,7.371429443359375
2022,-2.5041412353515398,6.645852661132835,9.149993896484375
2023,2.6264587402343977,7.02228698730471,4.3958282470703125
